|wav_path|text|emb_id
2|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0194.wav|incluindo o duelo entre o argentino e o inglãƒâªs nas ruas .|expressivo_animado
4|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0219.wav|apãƒâ³s a dãƒâ©cada de 1980 , a corãƒâ©ia conseguiu se identificar .|expressivo_animado
5|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0001.wav|nãƒâ£o pode haver trãƒâ©guas na guerra contra a malãƒâ¡ria .|expressivo_animado
6|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0211.wav|esse ãƒâ© um homem que tinha meu voto .|expressivo_animado
7|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0062.wav|ciãƒâªncia deu a liberaãƒâ§ãƒâ£o para experiãƒâªncias com explosãƒâ£o .|expressivo_animado
10|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0220.wav|ganharam a quina e vãƒâ£o levar um bilhãƒâ£o .|expressivo_animado
11|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0167.wav|lojas do municãƒâ­pio com tecnologia antiterrorismo .|expressivo_animado
12|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0187.wav|laura e cãƒâ©sar entendem os bebãƒâªs dos vizinhos .|expressivo_animado
14|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0173.wav|tinham exames na ãƒâ©poca do globo .|expressivo_animado
18|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0026.wav|os programas audiovisuais melhoraram significativamente a partir de 1991 .|expressivo_animado
21|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0046.wav|utilizar o espaãƒâ§o para protesto contra os parlamentares , uma coisa boa de acontecer .|expressivo_animado
23|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0215.wav|leia a ãƒâ­ntegra do texto aqui .|expressivo_animado
26|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0100.wav|ainda assim teremos o programa nuclear iraniano .|expressivo_animado
28|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0175.wav|chega a ir e vir sozinho de goiãƒâ¡s .|expressivo_animado
33|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0228.wav|o volume de carros na rodovia castello branco .|expressivo_animado
36|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0086.wav|ãƒâ‰ isso que vinha dizendo o grupo islãƒâ¢mico hamas .|expressivo_animado
40|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0090.wav|sei que ãƒâ© complexo o controle de filas .|expressivo_animado
44|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0213.wav|sãƒâ³ com um ciclo de gripe no ar .|expressivo_animado
47|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0214.wav|as luzes da rua devem ser apagadas ãƒâ s vinte e duas horas .|expressivo_animado
48|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0164.wav|tem que encerrar a novela da globo ali .|expressivo_animado
49|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0144.wav|alexandre padilha , na ocasiãƒâ£o do conflito .|expressivo_animado
51|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0025.wav|significa que sua candidatura obedece ao propãƒâ³sito atual .|expressivo_animado
53|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0193.wav|eu me sinto capaz de assumir esse mandato .|expressivo_animado
56|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0121.wav|a cãƒâ´rte indicou que as examinarãƒâ¡ , diz agãƒâªncia russa .|expressivo_animado
57|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0030.wav|nasceu em 1934 , pelas mãƒâ£os de parteira domiciliar .|expressivo_animado
58|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0202.wav|casal gay quer adotar filhos .|expressivo_animado
59|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0092.wav|as vãƒâ­timas acreditam que seu agressor nãƒâ£o resistiu e morreu .|expressivo_animado
60|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0045.wav|governadores da oposiãƒâ§ãƒâ£o querem reforma tributãƒâ¡ria e fiscal .|expressivo_animado
62|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0101.wav|a polãƒâ­cia afirmou que a morte era inexplicãƒâ¡vel , inimaginãƒâ¡vel .|expressivo_animado
64|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0080.wav|apenas uma nãƒâ£o era do fabricante do produto .|expressivo_animado
65|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0016.wav|essa biblioteca nãƒâ£o chega nem aos pãƒâ©s da que eu visitei .|expressivo_animado
67|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0102.wav|o bahia e o flamengo , em ribeirãƒâ£o , um ano depois .|expressivo_animado
68|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0035.wav|de acordo com a pm , assaltaram a caixa econãƒâ´mica federal .|expressivo_animado
69|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0170.wav|roubar sem barulho ou quadrilha .|expressivo_animado
71|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0185.wav|ter um museu em porto alegre .|expressivo_animado
74|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0055.wav|para preparar o orãƒâ§amento , pretende escolher o que estãƒâ¡ pronto .|expressivo_animado
75|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0051.wav|a delegaãƒâ§ãƒâ£o estava presente em campos do jordãƒâ£o .|expressivo_animado
76|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0077.wav|potencial para atendimento aos cidadãƒâ£os .|expressivo_animado
77|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0206.wav|sorocaba atinge quantia da dãƒâ­vida .|expressivo_animado
78|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0154.wav|miguel sabia de homicãƒâ­dios na barra da tijuca .|expressivo_animado
80|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0073.wav|o plano real vale para empresa internacional , inclusive .|expressivo_animado
84|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0208.wav|discutir o rumo de osasco contra o crime organizado .|expressivo_animado
86|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0010.wav|nenhuma indãƒâºstria pode viver permanentemente de subsãƒâ­dios .|expressivo_animado
88|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0188.wav|desenvolver o curso a mãƒâ©dio e longo prazos .|expressivo_animado
89|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0182.wav|jãƒâºnior , que investiga a guerra civil carioca .|expressivo_animado
90|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0011.wav|o suave perfume das gardãƒâªnias ãƒâ© a principal caracterãƒâ­stica do jardim central .|expressivo_animado
91|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0021.wav|aeronave a etanol sãƒâ£o menores .|expressivo_animado
92|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0160.wav|o diretor alemãƒâ£o oferece uma vaga na baixada fluminense .|expressivo_animado
93|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0134.wav|de modo que ãƒâ© seguro usar o relãƒâ³gio de ouro .|expressivo_animado
95|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0218.wav|ele tambãƒâ©m critica hillary clinton .|expressivo_animado
96|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0221.wav|a dieta desse povo ãƒâ© baseada em arroz e frutas .|expressivo_animado
97|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0223.wav|e sãƒâ³ a igreja catãƒâ³lica visita a itãƒâ¡lia e seu patrimãƒâ´nio .|expressivo_animado
98|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0204.wav|irmãƒâ£ responde ao repãƒâ³rter da emissora .|expressivo_animado
99|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0186.wav|homens armados e terrorismo sob suspeitas .|expressivo_animado
101|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0008.wav|em qualquer lugar de belãƒâ©m serve-se suco de aãƒâ§aãƒâ­ e ãƒâ¡gua de coco .|expressivo_animado
104|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0184.wav|consumidor levou uma tv sem valor .|expressivo_animado
106|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0078.wav|instituiãƒâ§ãƒâµes financeiras em massa no vermelho .|expressivo_animado
107|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0087.wav|o hãƒâ¡bito vem de pequeno , afirma a mãƒâ£e , maria aparecida .|expressivo_animado
108|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0018.wav|pesquisa no japãƒâ£o acerca da democracia .|expressivo_animado
109|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0095.wav|tomar apenas a ditadura por exemplo , e talvez pensar em algo mais grave .|expressivo_animado
110|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0227.wav|exãƒâ©rcito egãƒâ­pcio nega que chamada antiterrorismo vise ãƒâ  irmandade .|expressivo_animado
111|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0151.wav|a reforma econãƒâ´mica da china , melhorou profundamente a gestãƒâ£o das empresas .|expressivo_animado
112|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0075.wav|disse que nãƒâ£o tinha a intenãƒâ§ãƒâ£o de deixar a sua conta no banco .|expressivo_animado
113|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0137.wav|ganho de petrãƒâ³leo e gãƒâ¡s , do grupo ebx , no mãƒâªs que vem .|expressivo_animado
114|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0020.wav|a mansãƒâ£o tem um jardim com lago e fonte luminosa .|expressivo_animado
115|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0209.wav|a doenãƒâ§a ãƒâ© uma ameaãƒâ§a ao nordeste .|expressivo_animado
117|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0111.wav|a equipe europeia da petrobrãƒâ¡s jãƒâ¡ estava no esquema .|expressivo_animado
118|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0056.wav|do dia do sorteio atãƒâ© por volta das 17h .|expressivo_animado
120|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0114.wav|o que vai acontecer , no segundo bloco , na novela francesa .|expressivo_animado
122|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0149.wav|a partir de quinta-feira , os visitantes serãƒâ£o identificados atravãƒâ©s de um cartãƒâ£o magnãƒâ©tico .|expressivo_animado
125|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0143.wav|leva joaquim ãƒâ  turquia em duas semanas .|expressivo_animado
127|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0128.wav|na usp sugerem que hãƒâ¡ droga mais antiga .|expressivo_animado
128|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0098.wav|meu pai me inspirou no dia a dia .|expressivo_animado
129|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0033.wav|os rebeldes da universidade decretaram situaãƒâ§ãƒâ£o de ocupaãƒâ§ãƒâ£o .|expressivo_animado
130|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0034.wav|o valor da habitaãƒâ§ãƒâ£o brasileira subiu para a construtora de brasãƒâ­lia .|expressivo_animado
133|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0131.wav|a terra , apontava o estudo , era maior que a lua .|expressivo_animado
135|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0125.wav|ganhou a quina e vãƒâ£o levar 4 milhãƒâµes .|expressivo_animado
136|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0169.wav|vocãƒâª tem a multa como algo natural .|expressivo_animado
138|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0029.wav|e a primeira vez que o nome do brasil aparece nesta publicaãƒâ§ãƒâ£o .|expressivo_animado
141|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0190.wav|o atacante bateu em cunha durante a disputa .|expressivo_animado
142|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0103.wav|ganho mensal direto na folha .|expressivo_animado
143|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0210.wav|o decreto ãƒâ© superior ãƒâ  vontade individual .|expressivo_animado
144|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0049.wav|a famãƒâ­lia anunciou que nãƒâ£o vai fazer previsãƒâ£o para a manutenãƒâ§ãƒâ£o automotiva .|expressivo_animado
145|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0006.wav|o inverno chegarãƒâ¡ bastante forte este ano .|expressivo_animado
146|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0005.wav|o discurso de encerramento foi brilhante .|expressivo_animado
148|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0028.wav|no mãƒâªs passado , cerca de trãƒâªs milhãƒâµes de pessoas foram ao rio amazonas .|expressivo_animado
150|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0063.wav|para ter sua mulher e seus familiares para sempre .|expressivo_animado
156|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0139.wav|os ingressos custam poucos dãƒâ³lares atãƒâ© abril .|expressivo_animado
158|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0155.wav|antãƒâ´nio torna o game tranquilo .|expressivo_animado
165|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0097.wav|nãƒâ£o houve tempo e a venda finalizou .|expressivo_animado
166|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0061.wav|os leitores podem colaborar com esta rodada do jogo .|expressivo_animado
167|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0163.wav|aberta candidatura de joaquim barbosa ao cargo .|expressivo_animado
168|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0152.wav|todos dizem que se trata do pior filme da histãƒâ³ria do festival de cinema .|expressivo_animado
169|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0048.wav|a ãƒâ¡gua pelo caminho provocou congestionamento , com veãƒâ­culos envolvidos em acidente .|expressivo_animado
172|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0177.wav|o homem explica o dãƒâ©ficit com ajuda de aparelhos .|expressivo_animado
174|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0171.wav|fifa ganhou a quinta nota tãƒâ©cnica .|expressivo_animado
175|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0226.wav|amigos possãƒâ­veis de luiz filipe scolãƒâ¡ri .|expressivo_animado
176|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0192.wav|provocou os amigos e os chamou para conversar .|expressivo_animado
177|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0084.wav|em belo horizonte , o prãƒâªmio acumulou .|expressivo_animado
178|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0138.wav|ensinou a usar sinalizadores , e , no entanto , a confusãƒâ£o ainda existe .|expressivo_animado
179|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0036.wav|nos ãƒâºltimos cinco ou seis meses , nãƒâ£o se pronunciaram nas redes cibernãƒâ©ticas .|expressivo_animado
180|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0091.wav|no aeroporto do galeãƒâ£o , solo negro passarãƒâ¡ por anãƒâ¡lise de origem .|expressivo_animado
181|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0130.wav|nãƒâ£o ter sido rico como o lãƒâ­der supremo do irãƒâ£ , tem sua vantagem .|expressivo_animado
182|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0047.wav|paãƒâ­s com um pouco mais de polãƒâ­tica externa , diz o especialista .|expressivo_animado
183|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0119.wav|serãƒâ£o visitados china , formosa , panamãƒâ¡ , paraguai e venezuela .|expressivo_animado
187|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0115.wav|thiago silva , zagueiro , decidiu no pãƒâªnalti .|expressivo_animado
188|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0038.wav|foi tomada como uma forma de estimativa na bolsa de valores .|expressivo_animado
189|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0064.wav|chegou ãƒâ  marca de 60 por 19 horas de 11 de setembro .|expressivo_animado
191|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0032.wav|a cesta bãƒâ¡sica traz o mãƒâ­nimo para as famãƒâ­lias dos funcionãƒâ¡rios .|expressivo_animado
192|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0106.wav|a alianãƒâ§a entre cemitãƒâ©rio e crematãƒâ³rio africano .|expressivo_animado
193|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0108.wav|por lavagem de dinheiro , acabou em oito prisãƒâµes .|expressivo_animado
195|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0230.wav|do paraguai pra baixo , vamos pelo caminho .|expressivo_animado
196|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0217.wav|vou aos jogos olãƒâ­mpicos de londres sozinho .|expressivo_animado
197|/l/disk1/awstebas/data/TTS/vozes_sync/Alfredo/1.0/expressivo_animado/wav16/expressivo_animado0124.wav|a ideia ãƒâ© do fotãƒâ³grafo , que montou um painel: brilho carioca .|expressivo_animado
